Id;municipio_inmueble;estrato;direccion del inmueble;tipo inmueble;barrio;alcantarillado en el sector;acueducto en el sector;gas en el sector;energia en el sector;telefono en el sector;alcantarillado en el predio;acueducto en el predio;gas en el predio;energia en el predio;telefono en el predio;sardineles en las vias;andenes en las vias;topografia sector;transporte;demanda interes;paradero;alumbrado;arborizacion;alamedas;ciclo rutas;nivel de equipamiento comercial;area valorada;citofono;cocina;bicicletero;estudio;habitaciones;sala;porteria;piscina;cuarto del servicio;estar habitacion;tanque de agua;club house;garaje visitantes;vigilancia privada;vias pavimentadas;vigilancia 24 horas;administracion;antiguedad;sauna;comedor;baÒos;zona verde privada;balcon;terraza;patio interior;jardin;zona de ropas;numero total de garajes;numero total de depositos;longitud;latitud;valor total avaluo
6128;BOGOTA;2;KR 100 # 50 B - 45 SUR IN 2  TO 17  AP 101;APARTAMENTO;PARCELA EL PORVENIR;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;PLANA;REGULAR;MEDIA;SI;SI;SI;NO;SI;REGULAR MALO;39.55;NO;1;SI;0;2;1;SI;NO;0;0;SI;NO;SI;SI;SI;SI;TIENE;9;NO;1;1;NO;0;0;1;0.0;1;0;0.0;-74.757.222;4.275.277;87010000.0
6130;BARRANQUILLA;5;KR 65 # 84 - 145 APTO 9B VICTORIA PLAZA;APARTAMENTO;VILLA DEL ESTE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;SI;NO;BUENO;87.6;SI;1;NO;0;2;1;SI;NO;0;0;NO;NO;SI;NO;SI;NO;NO TIENE;0;NO;1;2;NO;1;0;0;0.0;1;1;1.0;-757.472.636;45.614.577;271560000.0
6131;BOGOTA;3;KR 48 # 163 B - 58 AP 408;APARTAMENTO;BRITALIA NORTE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;NO;SI;BUENO;77.55;SI;1;NO;0;3;1;SI;NO;0;0;NO;NO;NO;SI;SI;SI;TIENE;6;NO;1;2;NO;0;0;0;0.0;1;1;0.0;-747.572.031;42.757.691;310200000.0
6132;MEDELLIN;2;KR 37 # 67 - 22 APTO 201, ED. CARDONA SIERRA;APARTAMENTO;MANRIQUE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO TIENE;BUENO;INCLINADA;BUENO;MEDIA;SI;SI;NO;NO;NO;BUENO;89.18;NO;1;NO;1;3;1;NO;NO;0;0;NO;NO;NO;NO;SI;NO;NO TIENE;16;NO;1;1;NO;1;0;1;0.0;0;0;0.0;-7.411.091;4.584.541;129311000.0
6133;CALI;6;AV 3 A OESTE # 14 - 48 BARRIO SANTA RITA . EDIFICIO MULTIFAMILIAR ALCAAëIZ APTO. #602 SEXTO PISO;APARTAMENTO;SANTA RITA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;LIGERA;BUENO;MEDIA;SI;SI;SI;SI;NO;MUY BUENO;65.89;SI;1;NO;1;1;1;SI;NO;0;0;NO;NO;NO;SI;SI;SI;TIENE;9;NO;1;2;NO;1;0;0;0.0;0;1;0.0;-7.411.825;4.704.327;200964500.0
6134;BUCARAMANGA;3;CL 45 # 0 - 172 ETAPA I TORRE 1 APARTAMENTO 407;APARTAMENTO;CAMPOHERMOSO;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO TIENE;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;NO;NO;MUY BUENO;64.36;SI;1;NO;1;3;1;SI;SI;0;0;SI;NO;SI;SI;SI;SI;TIENE;0;NO;1;2;NO;1;0;0;0.0;1;0;0.0;-740.399.985;47.046.202;175059200.0
6135;BOGOTA;4;KR 13 # 41 - 36 TORRE 1 APTO 408 ;APARTAMENTO;PALERMO ;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO;BUENO;BUENO;LIGERA;BUENO;MEDIA;SI;SI;SI;NO;SI;BUENO;66.87;SI;1;SI;0;3;1;SI;NO;0;0;SI;NO;SI;SI;SI;SI;TIENE;9;SI;1;2;NO;1;0;0;0.0;1;1;0.0;-740.443.421;4.684.016;372411000.0
6136;PASTO;2;KR 26 # 30 - 47 MZ B1 CS 3;CASA;ARANDA;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;LIGERA;BUENO;MEDIA;SI;SI;SI;SI;SI;BUENO;81.5;0;1;0;0;3;1;0;0;0;0;0;0;0;NO;SI;NO;NO TIENE;0;0;1;3;NO;0;0;1;0.0;0;0;0.0;-747.570.765;42.753.733;93037500.0
6139;BOGOTA;4;KR 3 A # 63 - 51;CASA;MARIA CRISTINA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;SI;SI;BUENO;339.5;0;1;0;0;3;1;0;0;1;0;0;0;0;NO;SI;NO;NO TIENE;43;0;1;5;NO;0;1;1;0.0;1;0;0.0;-762.992.191;39.088.272;1256150000.0
6140;BARBOSA;3;KR 11 # 20 - 76 APARTAMENTO 1006;APARTAMENTO;SECTOR LA Y;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;FUERTE;SI;SI;NO;NO;NO;BUENO;99.19;SI;1;SI;1;3;1;SI;SI;0;0;SI;SI;SI;SI;SI;SI;TIENE;0;SI;1;2;NO;2;0;1;0.0;1;0;0.0;-7.568.611.920.000.000;48.083.057;302529500.0
